string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
96,safehouse_suburbs11_mnu,a&CP_SMUGGLER/SAFEHOUSE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_suburbs11_cs,,a&CP_SMUGGLER/CHYRON_TITLE,,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
97,safehouse_suburbs11,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_SELECTMISSION,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_suburbs11_cs,,a&CP_SMUGGLER/CHYRON_TITLE,,,,a&CP_SMUGGLER/CHYRON_TITLE,a&CP_SMUGGLER/CHYRON_LOCATION,a&CP_SMUGGLER/CHYRON_MISC,a&,a&
98,raid_coop_push,a&,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,coop_push_cs,,a&COOP_VEHICLE_PUSH/DESTROY_ENEMY_GATE,,,,a&,a&,a&,a&,a&
99,coop_bomb_defusal,a&COOP_BOMB_DEFUSAL/DEFUSE_BOMB,a&,step,,,0,,,,,,,,,,,,a&,a&,a&,,,,,,,a&,,,,a&,a&,a&,a&,a&
100,ba_mnu,a&CP_MILBASE_DIALOGUE/BA_MNU,a&,1,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&,,,,a&,a&,a&,a&,a&
101,ba_shiprecieve,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_TOWER,a&CP_STRIKE/SEARCH_TOWER_LABEL,,primary,icon_waypoint_objective_general,tower_computer,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/BA_MNU,1,,,a&,a&,a&,a&,a&
102,ba_searchareas,a&,a&,,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,,1,,a&,a&,a&,a&,a&
103,ba_tower,a&CP_STRIKE/OPEN_HANGAR,a&CP_MILBASE_DIALOGUE/LBL_TOWER,,primary,icon_waypoint_objective_general,hangar_door_button,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/ESCAPE_BASE,1,,,a&,a&,a&,a&,a&
104,ba_router,a&CP_MILBASE_DIALOGUE/WAIT_TRANSFER,a&CP_MILBASE_DIALOGUE/XFER_DATA,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/BA_MNU,2,,,a&,a&,a&,a&,a&
105,ba_steal_tank,a&CP_MILBASE_DIALOGUE/STEAL_TANK,a&,,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/ESCAPE_BASE,2,,,a&,a&,a&,a&,a&
106,ba_destroy_tanks,a&CP_MILBASE_DIALOGUE/DESTROY_TANKS,a&CP_MILBASE_DIALOGUE/ENEMY_TANK,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&,,,,a&,a&,a&,a&,a&
107,ba_escape,a&,a&,,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/ESCAPE_BASE,,1,,a&,a&,a&,a&,a&
108,ba_loca,a&CP_STRIKE/OBJ_SCAN_LOC_A,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,1,,,a&,a&,a&,a&,a&
109,ba_locb,a&CP_STRIKE/OBJ_SCAN_LOC_B,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,2,,,a&,a&,a&,a&,a&
110,ba_locc,a&CP_STRIKE/OBJ_SCAN_LOC_C,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,3,,,a&,a&,a&,a&,a&
111,ba_obj_a_plant,a&CP_STRIKE/OBJ_PLANT_LOC_B,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,2,,,a&,a&,a&,a&,a&
112,ba_obj_b_plant,a&CP_STRIKE/OBJ_PLANT_LOC_A,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,1,,,a&,a&,a&,a&,a&
113,ba_obj_c_plant,a&CP_STRIKE/OBJ_PLANT_LOC_C,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,3,,,a&,a&,a&,a&,a&
114,ba_countdown,a&CP_MILBASE_DIALOGUE/TIME_REMAINING,a&,,primary,,,,120,59,29,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/ESCAPE_BASE,1,,,a&,a&,a&,a&,a&
115,ba_escape_tank,a&CP_STRIKE/OBJ_ESCAPE,a&,,primary,icon_waypoint_objective_general,obj_escape,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/ESCAPE_BASE,3,,,a&,a&,a&,a&,a&
116,ba_obj_b_alt_plant,a&CP_STRIKE/OBJ_PLANT_LOC_A,a&,,,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_MILBASE_DIALOGUE/HINT_SEARCH_LOCATIONS,1,,,a&,a&,a&,a&,a&
117,obj_armsrace,a&CP_BR_SYRK_OBJECTIVES/ARMSRACE_DESC1,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_armsrace_cs,,a&CP_BR_SYRK_OBJECTIVES/ARMSRACE_TITLE,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
118,obj_overwatch,a&CP_SUBURBS_OBJECTIVES/STADIUM_APPROACH,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
119,obj_overwatch_bombs,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH_BOMBS,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
120,obj_overwatch_downloads,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH_DOWNLOADS,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
121,obj_overwatch_heli,a&CP_SUBURBS_OBJECTIVES/BOSS_HELI,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,4,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
122,obj_overwatch_tanks,a&CP_SUBURBS_OBJECTIVES/BOSS_TANKS,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
123,obj_overwatch_downloads,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH_DOWNLOADS,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_overwatch_create_script,,a&CP_SUBURBS_OBJECTIVES/OBJ_OVERWATCH,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
124,obj_iedrace,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
125,obj_iedrace_signal,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_SIGNAL,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,1,a&,a&,a&,a&,a&
126,obj_iedrace_hacks,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_1,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&,a&,a&,a&,a&
127,obj_iedrace_hacks_1,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_1,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&,a&,a&,a&,a&
128,obj_iedrace_hacks_2,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_2,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&,a&,a&,a&,a&
129,obj_iedrace_hacks_3,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_3,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&,a&,a&,a&,a&
130,obj_iedrace_hacks_4,a&CP_SUBURBS_OBJECTIVES/OBJ_IEDRACE_GETTO_4,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_iedrace_create_script,,a&,,,,a&,a&,a&,a&,a&
131,obj_tmtyl,a&CP_OBJ_TMTYL_DIALOGUE/OBJ_DESCRIPTION,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,a&,a&,a&,,,,,cp_tmtyl_script,,a&CP_OBJ_TMTYL_DIALOGUE/TITLE,,,,a&,a&,a&,a&,a&
132,event_bb_recovery,a&CP_STRIKE/OBJ_RECORDER,a&CP_STRIKE/HINT_RECORDER,,,icon_waypoint_objective_general,,,90,30,10,,,,,,,,a&,a&,a&,,,,,,,a&CP_STRIKE/OPTIONAL_EVENT,,,,a&,a&,a&,a&,a&
133,raid_coop_defuse,a&,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,coop_defuse_cs,,a&COOP_BOMB_DEFUSAL/RESCUE_HVI,,,,a&,a&,a&,a&,a&
134,safehouse_landlord_mnu,a&CP_LANDLORD/SAFEHOUSE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_landlord_cs,,a&,,,,a&,a&,a&,a&,a&
135,safehouse_landlord,a&CP_LANDLORD/SELECT_MISSION,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_landlord_cs,,a&,,1,,a&,a&,a&,a&,a&
136,safehouse_armsdealer_mnu,a&CP_ARMSDEALER/SAFEHOUSE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_armsdealer_cs,,a&,,,,a&,a&,a&,a&,a&
137,safehouse_armsdealer,a&CP_ARMSDEALER/SELECT_MISSION,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_armsdealer_cs,,a&,,1,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
138,holdout,a&CP_FUBAR/HOLDOUT_LZ,a&,1,primary,icon_waypoint_objective_general,,,120,60,30,,,,,1000,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,2,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
139,extract_lz,a&CP_FUBAR/EXTRACT_LZ,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,3,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
140,meet_with_informant,a&CP_PRISON_OBJECTIVES/MEET_THE_INFORMANT,a&,1,,,,0,,,,,,,,666,,,a&,a&,a&,,,,,cp_prison_break_cs,,a&,,,,a&,a&,a&,a&,a&
141,go_to_the_prison,a&CP_PRISON_OBJECTIVES/GO_TO_PRISON,a&,0,primary,icon_waypoint_marker,51078,-39002,1151,0,,,,,,,,666,,,a&,a&,a&,,,,,cp_prison_break_cs,,a&,,,,a&,a&,a&,a&,a&
142,checkin_weapons,a&CP_PRISON_OBJECTIVES/CHECKIN_YOUR_WEAPONS,a&,0,primary,icon_waypoint_marker,gun_checkin,script_noteworthy,0,30,15,5,,,,,666,,1,a&,a&,a&,,,,,cp_prison_break_cs,,a&,,,,a&,a&,a&,a&,a&
143,find_hvi,a&CP_PRISON_OBJECTIVES/FIND_HVI,a&,0,primary,,,0,,,,,,,,666,,,a&,a&,a&,,,,,cp_prison_break_cs,,a&,,,,a&,a&,a&,a&,a&
144,breakout,a&CP_PRISON_OBJECTIVES/ESCORT_HVI,a&,0,primary,icon_waypoint_marker,breakout_exfil,targetname,0,,,,,,,,666,,,a&,a&,a&,,,,,cp_prison_break_cs,,a&,,,,a&,a&,a&,a&,a&
145,recover_nuclear_core,a&CP_FUBAR/RETRIEVE_NUCLEAR_CORE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,1,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
146,safehouse_return,a&CP_DWN_TWN_OBJECTIVES/GOTO_SAFEHOUSE,a&CP_STRIKE/SAFEHOUSE_REGROUP,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
147,safehouse_startmission,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_START,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_START,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
148,safehouse_return_timer,a&CP_STRIKE/REJOIN,a&CP_STRIKE/SAFEHOUSE_REGROUP,0,primary,,,,30,,,,,,,,,,a&,a&,a&,,,,1,,,a&,1,,,a&,a&,a&,a&,a&
149,safehouse_armsdealer_return,a&CP_ARMSDEALER/RETURN,a&CP_ARMSDEALER/REGROUP_SF,0,primary,icon_waypoint_objective_general,armsdealer_safehouse_loadout,targetname,,,,,,,,,,,,a&,a&,a&,,,,,cp_donetsk_safehouse_armsdealer_cs,,a&CP_ARMSDEALER/SAFEHOUSE,1,1,,a&CP_CHYRONS/ARMSDEALER_SH_RETURN_TITLE,a&CP_CHYRONS/ARMSDEALER_SH_RETURN_TIME,a&CP_CHYRONS/ARMSDEALER_SH_RETURN_LOCATION,a&CP_CHYRONS/ARMSDEALER_SH_RETURN_MISC,a&CP_CHYRONS/ARMSDEALER_SH_RETURN_SQUAD
150,obj_payload_punish,a&CP_OBJ_PAYLOAD/PUNISH_DESC,a&,0,primary,,,,90,60,15,,,,,,1,1,a&,a&,a&,,,,,cp_payloadobjective_cs,,a&CP_OBJ_PAYLOAD/TITLE,1,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
151,safehouse_return,a&CP_DWN_TWN_OBJECTIVES/GOTO_SAFEHOUSE,a&CP_STRIKE/SAFEHOUSE_REGROUP,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
152,safehouse_return_exit,a&CP_DWN_TWN_OBJECTIVES/VA_BANK,a&CP_STRIKE/SAFEHOUSE_REGROUP,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,,1,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
153,safehouse_startmission,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_START,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_START,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
154,safehouse_return_timer,a&CP_STRIKE/REJOIN,a&CP_STRIKE/SAFEHOUSE_REGROUP,0,primary,,,,30,,,,,,,,,,a&,a&,a&,,,,1,,,a&CP_LANDLORD/OBJ_REGROUP_AT_STATION,1,,,a&,a&,a&,a&,a&
155,safehouse_landlord_regroup_mnu,a&CP_LANDLORD/OBJ_REGROUP_AT_STATION,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_LANDLORD/OBJ_REGROUP_AT_STATION,,,,a&,a&,a&,a&,a&
156,safehouse_landlord_regroup,a&CP_LANDLORD/OBJ_REGROUP_AT_STATION,a&CP_STRIKE/SAFEHOUSE_REGROUP,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_LANDLORD/OBJ_REGROUP_AT_STATION,,,,a&,a&,a&,a&,a&
