string,string,localized,localized,string,string,string,localized,string,string,string,string,string,string,string,string,string
7842,iw9_ch_pmc_one_match_extract_killstreaks,&PMC/ONE_MATCH_EXTRACT_KILLSTREAKS_NAME,&PMC/ONE_MATCH_EXTRACT_KILLSTREAKS_DESC,1,11845,5000,&PMC/ONE_MATCH_EXTRACT_KILLSTREAKS_DETAIL_DESC,british,50,5,,,,11,,
8072,iw9_ch_pmc_revolver_headshot_kills,&PMC/REVOLVER_HEADSHOT_KILLS_NAME,&,2,11845,5000,&PMC/REVOLVER_HEADSHOT_KILLS_DETAIL_DESC,british,50,,,8073|8074,,,,
8073,iw9_ch_pmc_revolver_headshot_kills_loot,&,&PMC/REVOLVER_HEADSHOT_KILLS_LOOT_DESC,1,,0,&,british,,,,,11367,,,
8074,iw9_ch_pmc_revolver_headshot_kills_kill,&,&PMC/REVOLVER_HEADSHOT_KILLS_KILL_DESC,13,,0,&,british,,,,,,,,
8075,iw9_ch_pmc_stronghold_clear_speedrun,&PMC/STRONGHOLD_CLEAR_SPEEDRUN_NAME,&,2,11845,5000,&PMC/STRONGHOLD_CLEAR_SPEEDRUN_DETAIL_DESC,british,50,,,8076|7869,,,,
8076,iw9_ch_pmc_stronghold_clear_speedrun_unlock,&,&PMC/STRONGHOLD_CLEAR_SPEEDRUN_UNLOCK_DESC,1,,0,&,british,,,,,,,,
7869,iw9_ch_pmc_stronghold_clear_speedrun_clear,&,&PMC/STRONGHOLD_CLEAR_SPEEDRUN_CLEAR_DESC,3,,0,&,british,,,,,,,,
8077,iw9_ch_pmc_lmg_kills_armor,&PMC/LMG_KILLS_ARMOR_NAME,&,2,11845,5000,&PMC/LMG_KILLS_ARMOR_DETAIL_DESC,british,50,,,8078|8079,,,,
8078,iw9_ch_pmc_lmg_kills_armor_kill,&,&PMC/LMG_KILLS_ARMOR_KILL_DESC,25,,0,&,british,,,,,,,,
8079,iw9_ch_pmc_lmg_kills_armor_armored,&,&PMC/LMG_KILLS_ARMOR_ARMORED_DESC,10,,0,&,british,,,,,,,,
8080,iw9_ch_pmc_sync_samsite_control,&PMC/SYNC_SAMSITE_CONTROL_NAME,&PMC/SYNC_SAMSITE_CONTROL_DESC,1,11845,5000,&PMC/SYNC_SAMSITE_CONTROL_DETAIL_DESC,british,50,,,,,,,
8081,iw9_ch_pmc_one_match_safes_extract_cash,&PMC/ONE_MATCH_SAFES_EXTRACT_CASH_NAME,&,2,11845,5000,&PMC/ONE_MATCH_SAFES_EXTRACT_CASH_DETAIL_DESC,british,50,,,8082|8083,,,,
8082,iw9_ch_pmc_one_match_safes_extract_cash_safe,&,&PMC/ONE_MATCH_SAFES_EXTRACT_CASH_SAFE_DESC,1,,0,&,british,,3,,,,,,
8083,iw9_ch_pmc_one_match_safes_extract_cash_extract,&,&PMC/ONE_MATCH_SAFES_EXTRACT_CASH_EXTRACT_DESC,1,,0,&,british,,1,,,8395,,,
8084,iw9_ch_pmc_meds_deliver_extract,&PMC/MEDS_DELIVER_EXTRACT_NAME,&,3,11845,5000,&PMC/MEDS_DELIVER_EXTRACT_DETAIL_DESC,british,50,,,8085|8086|8087,,,,
8085,iw9_ch_pmc_meds_deliver_extract_stims,&,&PMC/MEDS_DELIVER_EXTRACT_STIMS_DESC,6,,0,&,british,,,,,9111,,,
8086,iw9_ch_pmc_meds_deliver_extract_liquor,&,&PMC/MEDS_DELIVER_EXTRACT_LIQUOR_DESC,4,,0,&,british,,,,,8551,,,
8087,iw9_ch_pmc_meds_deliver_extract_revive,&,&PMC/MEDS_DELIVER_EXTRACT_REVIVE_DESC,1,,0,&,british,,,,,8548,,,
7851,iw9_ch_pmc_crane_intel_extract,&PMC/CRANE_INTEL_EXTRACT_NAME,&,3,11845,5000,&PMC/CRANE_INTEL_EXTRACT_DETAIL_DESC,british,50,,,8088|8089|8090,,,,
8088,iw9_ch_pmc_crane_intel_extract_key,&,&PMC/CRANE_INTEL_EXTRACT_KEY_DESC,1,,0,&,british,,,,,,,8455|8498|8504,iw9_loot_id
8089,iw9_ch_pmc_crane_intel_extract_unlock,&,&PMC/CRANE_INTEL_EXTRACT_UNLOCK_DESC,1,,0,&,british,,,,,,,,
8090,iw9_ch_pmc_crane_intel_extract_extract,&,&PMC/CRANE_INTEL_EXTRACT_EXTRACT_DESC,1,,0,&,british,,,,,11199,,,
8137,iw9_ch_pmc_mall_kills,&PMC/MALL_KILLS_NAME,&,2,11845,5000,&PMC/MALL_KILLS_DETAIL_DESC,british,50,,,8138|8139,,,,
8138,iw9_ch_pmc_mall_kills_enemies,&,&PMC/MALL_KILLS_ENEMIES_DESC,20,,0,&,british,,,,,,,,
8139,iw9_ch_pmc_mall_kills_players,&,&PMC/MALL_KILLS_PLAYERS_DESC,3,,0,&,british,,,,,,,,
