xhash,localized_a,localized_a,localized_a,string,xhash,string,string,string,localized_a,string,string,string,string,string,localized_a,string,xhash,localized_a,string,xhash,string,string,xhash,string,string,xhash,string,string,xhash,string,localized_a,int
#hash_81c60d6af8366ee2,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sh_dpapa12,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/DEVASTATOR,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_3237177c1d5b2a72,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sh_romeo870,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/DEVASTATOR,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_80d62b2f8da2c9d6,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sh_oscar12,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/DEVASTATOR,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_957867c0bfc6401d,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sh_charlie725,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/DEVASTATOR,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_2fe114d7a92e4fe8,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_lm_kilo121,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/MAULER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cdcb5bc0e0497a30,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_lm_pkilo,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/MAULER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_787bca8abdf1b550,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_lm_lima86,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/MAULER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_b5e4b73894c64b55,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_lm_mgolf34,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/MAULER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_b5e4b53894c647ef,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_lm_mgolf36,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/MAULER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_85bcea7fb33d7ea2,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_alpha50,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/CHEYTAC_CLASSIC,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_b7022f5405f211c5,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_delta,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/CHEYTAC_CLASSIC,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_db22b87e820a6856,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_mike14,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_e81fd84a6cc52889,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_hdromeo,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/CHEYTAC_CLASSIC,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_e578f6f7dca839d5,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_kilo98,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cd99141994243b64,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_sn_sbeta,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_5c44f267c58738c7,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,render_weapon_slot_g18_mp,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_5cf44c8f68121396,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,render_weapon_slot_revolver_mp,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/REVOLVER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_93c068f01f0cdf2,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_pi_golf21,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_bca2ff5de6be55d8,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_pi_decho,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/REVOLVER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_869a52c72ce9bee4,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_pi_cpapa,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/REVOLVER,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_94cdb3fbc3456379,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_pi_mike_1911,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_b8c0db8c77dc45f6,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP,a&SPLASHES/WEAPON_RANKED_UP_DESC,icon_weapon_pi_papa320,#hash_170ee0b4b76e1d35,urgent_splash,rank,,a&WEAPON/G18,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_ce29b692261f6b20,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/RVN,render_weapon_slot_rvn_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/RVN,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_bb962eccfeca0e92,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/UDM45,render_weapon_slot_udm45_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/UDM45,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_41c24a89bc074399,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/CRDB,render_weapon_slot_crdb_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/CRDB,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_303017f6d3eb2004,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/VR,render_weapon_slot_vr_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/VR,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_6cb4219f10b83fc1,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/MP28,render_weapon_slot_mp28_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/MP28,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_a9ca3be34ec9c8c5,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&MP_INGAME_ONLY/WEAPON_SPLASH_TITLE,a&WEAPON/MINILMG,render_weapon_slot_minilimg_mp,#hash_1ea388e6f81bdc7,urgent_splash,local,,a&WEAPON/MINILMG,TRUE,TRUE,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cf213e77881c8482,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE_TEAM_0_DESC,splash_icon_team_wolverines_contract,#hash_6a12aa2df2374e12,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cf213f77881c8635,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE_TEAM_1_DESC,splash_icon_team_orion_contract,#hash_6a12aa2df2374e12,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cf213c77881c811c,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE_TEAM_2_DESC,splash_icon_team_sabre_contract,#hash_6a12aa2df2374e12,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cf213d77881c82cf,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE_TEAM_3_DESC,splash_icon_team_wraith_contract,#hash_6a12aa2df2374e12,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_d851d8aa850fe44b,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE,a&SPLASHES/CONTRACT_COMPLETE_JOINT_OPS_DESC,mission_team_joint_ops_icon,#hash_6a12aa2df2374e12,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#esc_challenge_complete,a&SPLASHES/ESC_CHALLENGE_COMPLETE,a&SPLASHES/ESC_CHALLENGE_COMPLETE,a&,splash_icon_challenge_loot,#hash_d8a2edab16b242b3,challenge_splash,challenge,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_1,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_1,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_2,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_2,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_3,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_3,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_4,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_4,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_5,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_5,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hvt_rank_up_6,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_UP_6,hud_icon_killstreak_nuke,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_17ce0eb2bf2fd97,a&SPLASHES/WARNING,a&SPLASHES/WARNING,a&SPLASHES/HVT_RANK_DEMOTION,hud_icon_death_spawn,#,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_tac_cover,a&EQUIPMENT/TACTICAL_COVER_READY,a&EQUIPMENT/TACTICAL_COVER_READY,a&,hud_icon_equipment_tac_cover,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_recon_drone,a&KILLSTREAKS/RECON_DRONE_READY,a&KILLSTREAKS/RECON_DRONE_READY,a&,hud_icon_killstreak_radardrone_recon,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_support_box,a&EQUIPMENT/SUPPORT_BOX_READY,a&EQUIPMENT/SUPPORT_BOX_READY,a&,hud_icon_fieldupgrade_ammo_box,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_laststand_heal,a&SUPER_MP/LASTSTAND_HEAL_READY,a&SUPER_MP/LASTSTAND_HEAL_READY,a&,hud_icon_fieldupgrade_laststand,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_b075fdf097949c62,a&EQUIPMENT/ADRENALINE_READY,a&EQUIPMENT/ADRENALINE_READY,a&,hud_icon_equipment_stim,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_br_extract,a&SUPER_MP/BR_EXTRACT_FLARE,a&SUPER_MP/BR_EXTRACT_FLARE,a&,hud_icon_equipment_pop_rocket,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_remote_detonate,a&SUPER_MP/REMOTE_DETONATION_READY,a&SUPER_MP/REMOTE_DETONATION_READY,a&,hud_icon_killstreak_death_switch,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_trophy,a&EQUIPMENT_TROPHY_READY,a&EQUIPMENT_TROPHY_READY,a&,hud_icon_fieldupgrade_trophy,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_scramble,a&SUPER_MP/SCRAMBLE_READY,a&SUPER_MP/SCRAMBLE_READY,a&,hud_icon_killstreak_scramblerdrone,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_emp_drone,a&PERKS/ABILITY_EMPDRONE_READY,a&PERKS/ABILITY_EMPDRONE_READY,a&,hud_icon_fieldupgrade_emp_drone,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_deadsilence,a&PERKS/ABILITY_DEADSILENCE_READY,a&PERKS/ABILITY_DEADSILENCE_READY,a&,hud_icon_fieldupgrade_deadsilence,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_tac_insert,a&PERKS/ABILITY_TAC_INSERT_READY,a&PERKS/ABILITY_TAC_INSERT_READY,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_smoke_airdrop,a&SPLASHES/USED_SMOKE_AIRDROP,a&SPLASHES/USED_SMOKE_AIRDROP,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#super_ammo_drop,a&PERKS/ABILITY_AMMO_DROP_READY,a&PERKS/ABILITY_AMMO_DROP_READY,a&,hud_icon_fieldupgrade_weapon_drop,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#stopping_power_loaded,a&SPLASHES/STOPPING_POWER_LOADED,a&SPLASHES/STOPPING_POWER_LOADED,a&,hud_icon_fieldupgrade_stopping_power,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#suppression_rounds_activated,a&SPLASHES/SUPPRESSION_ROUNDS_ACTIVATED,a&SPLASHES/SUPPRESSION_ROUNDS_ACTIVATED,a&,hud_icon_fieldupgrade_apr,#ui_splash_screen_default,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#tac_insert_fail_br_too_far,a&SPLASHES/TAC_INSERT_FAIL_BR_TOO_FAR,a&SPLASHES/TAC_INSERT_FAIL_BR_TOO_FAR,a&,hud_icon_equipment_flare_broken,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#tac_insert_success_br,a&SPLASHES/TAC_INSERT_SUCCESS_BR,a&SPLASHES/TAC_INSERT_SUCCESS_BR,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_aa795273bedcfe6d,a&SPLASHES/INFECT_SUPER_TI_SET,a&SPLASHES/INFECT_SUPER_TI_SET,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_claymore,a&SPLASHES/DISABLED_CLAYMORE,a&SPLASHES/DISABLED_CLAYMORE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_c4,a&SPLASHES/DISABLED_C4,a&SPLASHES/DISABLED_C4,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_at_mine,a&SPLASHES/DISABLED_AT_MINE,a&SPLASHES/DISABLED_AT_MINE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_wheelson,a&SPLASHES/DISABLED_WHEELSON,a&SPLASHES/DISABLED_WHEELSON,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_recon_drone,a&SPLASHES/DISABLED_RECON_DRONE,a&SPLASHES/DISABLED_RECON_DRONE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_bomb_drone,a&SPLASHES/DISABLED_BOMB_DRONE,a&SPLASHES/DISABLED_BOMB_DRONE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_sentry_gun,a&SPLASHES/DISABLED_SENTRY_GUN,a&SPLASHES/DISABLED_SENTRY_GUN,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_218b72ef391e7f09,a&SPLASHES/SUPER_BAMBOOZLE,a&SPLASHES/SUPER_BAMBOOZLE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_smoke_airdrop,a&SPLASHES/DISABLED_SMOKE_AIRDROP,a&SPLASHES/DISABLED_SMOKE_AIRDROP,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#disabled_cluster_spike,a&SPLASHES/DISABLED_CLUSTER_SPIKE,a&SPLASHES/DISABLED_CLUSTER_SPIKE,a&,hud_icon_fieldupgrade_tac_insert,#ui_splash_screen_default,killstreak_splash,perk,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_target,a&SPLASHES/OBJECTIVE_NEW,a&SPLASHES/OBJECTIVE_NEW,a&SPLASHES/COP_TARGET,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_activate,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_ACTIVATE,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_hold_enemy,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_HOLD_ENEMY,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_hold_friendly,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_HOLD_FRIENDLY,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_captured_enemy,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_CAPTURED_ENEMY,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_captured_friendly,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_CAPTURED_FRIENDLY,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_attack,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_ATTACK,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_defend,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_DEFEND,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_planted,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_PLANTED,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#cop_defused,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/OBJECTIVE_UPDATE,a&SPLASHES/COP_DEFUSED,icon_waypoint_generic,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#br_inflation_respawn_token_pickup,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENT_GAINED,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENT_GAINED,a&SPLASHES/BLANK,ui_mp_br_splash_token_respawn_pro,#ui_splash_screen_default,splash,phaseChange,,a&,,,splashNotifications.splashAlternativecColor2,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_533809496b7bfb5f,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENTS_CLOSED,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENTS_CLOSED,a&,ui_mp_br_splash_token_respawn_pro,#ui_splash_screen_default,splash,phaseChange,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#br_inflation_respawn_token_lost,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENT_LOST,a&MP_BR_INGAME/INFLATION_CASH_DEPLOYMENT_LOST,a&,ui_mp_br_splash_token_respawn_pro,#ui_splash_screen_default,splash,phaseChange,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#br_respawn_start,a&SPLASHES/BR_RESPAWN_START,a&SPLASHES/BR_RESPAWN_START,a&SPLASHES/BLANK,ui_mp_br_loot_icon_revive_item,#hash_cbfe24c3a5dbbd36,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#br_killstreak_purchased_and_activated,a&SPLASHES/BR_KILLSTREAK_PURCHASED,a&SPLASHES/BR_KILLSTREAK_PURCHASED,a&SPLASHES/BR_KILLSTREAK_PURCHASED_DESC,ui_mp_br_loot_icon_supply_station,#hash_55aeae99c8139ca5,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#br_beacon_bonus,a&SPLASHES/BEACON_BONUS,a&SPLASHES/BEACON_BONUS,a&SPLASHES/BLANK,icon_splash_skill_shot,#hash_55aeae99c8139ca5,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
